nm0001899,Remi Adefarasin,Remi Adefarasin,,"1948 in London, England, UK","1948 in London, England, UK","London, England, UK",,
nm0001934,Kabir Bedi,Kabir Bedi,185,"January 16, 1946 in Lahore, Punjab, British India",1946-01-16,"Lahore, Punjab, British India",,
nm0001937,Marco Beltrami,Marco Beltrami,,"October 7, 1966 in New York City, New York, USA",1966-10-07,"New York City, New York, USA",,
nm0001952,Rubén Blades,Rubén Blades Bellido de Luna,178,"July 16, 1948 in Panama City, Panama",1948-07-16,"Panama City, Panama",,
nm0001953,Moritz Bleibtreu,Moritz Bleibtreu,173,"August 13, 1971 in Munich, Bavaria, West Germany",1971-08-13,"Munich, Bavaria, West Germany",,
nm0001963,Jesse Borrego,Jesse Borrego,172,"August 1, 1962 in San Antonio, Texas, USA",1962-08-01,"San Antonio, Texas, USA",,
nm0001971,Ewen Bremner,Ewen Bremner,173,"January 23, 1972 in Edinburgh, Scotland, UK",1972-01-23,"Edinburgh, Scotland, UK",,
nm0001980,Carter Burwell,Carter Benedict Burwell,,"November 18, 1954 in New York City, New York, USA",1954-11-18,"New York City, New York, USA",,
nm0001993,Vincent Cassel,Vincent Crochon,187,"November 23, 1966 in Paris, France",1966-11-23,"Paris, France",,
nm0002004,Sarita Choudhury,Sarita Catherine Louise Choudhury,165,"August 18, 1966 in London, England, UK",1966-08-18,"London, England, UK",,
nm0002005,Agatha Christie,Agatha Mary Clarissa Miller,172,"September 15, 1890 in Torquay, Devon, England, UK",1890-09-15,"Torquay, Devon, England, UK",1976-01-12,"Wallingford, Oxfordshire, England, UK  "
nm0002006,Thomas Haden Church,Thomas Richard McMillen,181,"June 17, 1960 in Yolo, California, USA",1960-06-17,"Yolo, California, USA",,
nm0002007,Tom Clancy,Thomas Leo Clancy Jr.,188,"April 12, 1947 in Baltimore, Maryland, USA",1947-04-12,"Baltimore, Maryland, USA",2013-10-01,"Baltimore, Maryland, USA  "
nm0002033,Tyne Daly,Ellen Tyne Daly,166,"February 21, 1946 in Madison, Wisconsin, USA",1946-02-21,"Madison, Wisconsin, USA",,
nm0002041,Dean Devlin,Dean Devlin,178,"August 27, 1962 in New York City, New York, USA",1962-08-27,"New York City, New York, USA",,
nm0002042,Charles Dickens,Charles John Huffam Dickens,173,"February 7, 1812 in Portsmouth, Hampshire, England, UK",1812-02-07,"Portsmouth, Hampshire, England, UK",1870-06-09,"Gad's Hill, Rochester, Kent, England, UK  "
nm0002043,Madhuri Dixit,Madhuri Shankar Dixit,158,"May 15, 1967 in Bombay, Maharashtra, India",1967-05-15,"Bombay, Maharashtra, India",,
nm0002044,Roger Donaldson,Roger Donaldson,188,"November 15, 1945 in Ballarat, Australia",1945-11-15,"Ballarat, Australia",,
nm0002062,Kathryn Erbe,Kathryn Elsbeth Erbe,157,"July 5, 1965 in Newton, Massachusetts, USA",1965-07-05,"Newton, Massachusetts, USA",,
nm0002064,Giancarlo Esposito,Giancarlo Giuseppe Alessandro Esposito,171,"April 26, 1958 in Copenhagen, Denmark",1958-04-26,"Copenhagen, Denmark",,
nm0002071,Will Ferrell,John William Ferrell,191,"July 16, 1967 in Irvine, California, USA",1967-07-16,"Irvine, California, USA",,
nm0002076,Jason Flemyng,Jason Iain Flemyng,185,"September 25, 1966 in Putney, London, England, UK",1966-09-25,"Putney, London, England, UK",,
nm0002077,Dexter Fletcher,Dexter Fletcher,168,"January 31, 1966 in Enfield, London, England, UK",1966-01-31,"Enfield, London, England, UK",,
nm0002139,Judd Hirsch,Judd Seymore Hirsch,179,"March 15, 1935 in The Bronx, New York City, New York, USA",1935-03-15,"The Bronx, New York City, New York, USA",,
nm0002091,Michael Gambon,Michael John Gambon,183,"October 19, 1940 in Cabra, Dublin, Ireland",1940-10-19,"Cabra, Dublin, Ireland",,
nm0002180,Francesca Archibugi,Francesca Archibugi,,"May 16, 1960 in Rome, Lazio, Italy",1960-05-16,"Rome, Lazio, Italy",,
nm0002101,Robin Givens,Robin Simone Givens,165,"November 27, 1964 in New York City, New York, USA",1964-11-27,"New York City, New York, USA",,
nm0002120,Lasse Hallström,Lars Hallström,184,"June 2, 1946 in Stockholm, Stockholms län, Sweden",1946-06-02,"Stockholm, Stockholms län, Sweden",,
nm0004335,Hrithik Roshan,Hrithik Rakesh Nagrath,178,"January 10, 1974 in Bombay, Maharashtra, India",1974-01-10,"Bombay, Maharashtra, India",,
nm0002132,Amy Heckerling,Amy I. Heckerling,160,"May 7, 1954 in The Bronx, New York City, New York, USA",1954-05-07,"The Bronx, New York City, New York, USA",,
nm0002170,Ashok Amritraj,Ashok Amritraj,,,,,,
nm0002184,Vic Armstrong,Victor Monroe Armstrong,183,"October 5, 1946 in Farnham Common, Buckinghamshire, England, UK",1946-10-05,"Farnham Common, Buckinghamshire, England, UK",,
nm0002191,Jacques Audiard,Jacques Audiard,174,"April 30, 1952 in Paris, France",1952-04-30,"Paris, France",,
nm0002201,John Debney,John Debney,183,"August 18, 1956 in Glendale, California, USA",1956-08-18,"Glendale, California, USA",,
nm0002217,Mychael Danna,Mychael Danna,,"September 20, 1958 in Winnipeg, Manitoba, Canada",1958-09-20,"Winnipeg, Manitoba, Canada",,
nm0002218,Claude Miller,Claude Miller,,"February 20, 1942 in Paris, France",1942-02-20,"Paris, France",2012-04-04,"Paris, France  "
nm0002227,John Frizzell,John Frizzell,,"1966 in New York City, New York, USA","1966 in New York City, New York, USA","New York City, New York, USA",,
nm0002252,David A. Armstrong,David A. Armstrong,,,,,,
nm0002253,John Carroll Lynch,John Carroll Lynch,193,"August 1, 1963 in Boulder, Colorado, USA",1963-08-01,"Boulder, Colorado, USA",,
nm0002332,Stephen Lang,Stephen Lang,179,"July 11, 1952 in New York City, New York, USA",1952-07-11,"New York City, New York, USA",,
nm0002336,Declan Quinn,Declan Quinn,,"1957 in Chicago, Illinois, USA","1957 in Chicago, Illinois, USA","Chicago, Illinois, USA",,
nm0002339,Allen Coulter,Allen Coulter,,,,,,
nm0002353,Thomas Newman,Thomas Montgomery Newman,178,"October 20, 1955 in Los Angeles, California, USA",1955-10-20,"Los Angeles, California, USA",,
nm0002354,John Williams,John Towner Williams,182,"February 8, 1932 in Flushing, Queens, New York City, New York, USA",1932-02-08,"Flushing, Queens, New York City, New York, USA",,
nm0002366,Christopher Young,Robert Gilchrist Ilsley Young,,"April 28, 1957 in Redbank, New Jersey, USA",1957-04-28,"Redbank, New Jersey, USA",,
nm0002368,Tom Flynn,Tom Flynn,,,,,,
nm0002376,David Hare,David Hare,192,"June 5, 1947 in Sussex, England, UK",1947-06-05,"Sussex, England, UK",,
nm0002436,Shannon Elizabeth,Shannon Elizabeth Fadal,175,"September 7, 1973 in Houston, Texas, USA",1973-09-07,"Houston, Texas, USA",,
nm0002438,Burnie Burns,Michael Burns,188,"January 18, 1973 in Rochester, New York, USA",1973-01-18,"Rochester, New York, USA",,
nm0002557,Vanja Cernjul,Vanja Cernjul,,"June 3, 1968 in Zagreb, Croatia",1968-06-03,"Zagreb, Croatia",,
nm0002718,Brian Koppelman,Brian Koppelman,,"1966 in Roslyn Harbor, Long Island, New York, USA","1966 in Roslyn Harbor, Long Island, New York, USA","Roslyn Harbor, Long Island, New York, USA",,
nm0002645,Paolo Genovese,Paolo Genovese,,"August 20, 1966 in Rome, Lazio, Italy",1966-08-20,"Rome, Lazio, Italy",,
nm0002653,Joe Johnston,Joseph Eggleston Johnston II,187,"May 13, 1950 in Austin, Texas, USA",1950-05-13,"Austin, Texas, USA",,
nm0002947,Toby Oliver,Toby Oliver,,,,,,
nm0002657,Gary Ross,Gary Ross,,"November 3, 1956 in Los Angeles, California, USA",1956-11-03,"Los Angeles, California, USA",,
nm0002659,Les Weldon,Les Weldon,,,,,,
nm0002681,Jim Denault,Jim Denault,,"July 25, 1960 in New York, USA",1960-07-25,"New York, USA",,
nm0002684,Michael Galbraith,Michael Galbraith,,,,,,
nm0002685,Roger Neill,Roger Neill,,"December 26, 1963 in San Diego, California, USA",1963-12-26,"San Diego, California, USA",,
nm0002700,Malcolm D. Lee,Malcolm D. Lee,192,"January 11, 1970 in USA",1970-01-11,USA,,
nm0002706,David L. Bertman,David L. Bertman,,,,,,
