tt1754633,The Ghastly Love of Johnny X,The Ghastly Love of Johnny X,2012,2012-03-03,"Comedy, Fantasy, Musical",106,USA,English,Paul Bunnell,"Steve Bingen, Paul Bunnell",Ghastly Johnny X,"Will Keenan, Creed Bratton, De Anna Joy Brooks, Reggie Bannister, Les Williams, Jed Rowen, Kate Maberly, Paul Williams, Kevin McCarthy, Heather R. Provost, Katherine Giaquinto, David Slaughter, Morris Everett, Rebecca Burchett, Sara Grigsby","A truly mad concoction, blending 1950s juvenile delinquents, sci-fi melodrama, song-and-dance, and a touch of horror, everything in just the right combination to create an engaging big ...",$ 2000000,$ 2436,$ 2436
tt1754656,Il piccolo principe,Le Petit Prince,2015,2016-01-01,"Animation, Adventure, Drama",108,"France, Canada, Italy, USA, China",English,Mark Osborne,"Irena Brignull, Bob Persichetti",Onyx Films,"Jeff Bridges, Mackenzie Foy, Rachel McAdams, Marion Cotillard, Riley Osborne, James Franco, Bud Cort, Benicio Del Toro, Ricky Gervais, Albert Brooks, Paul Rudd, Paul Giamatti, Jeffy Branion, Jacquie Barnbrook, Marcel Bridges","A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",$ 81200000,$ 1339152,$ 97571250
tt1757806,Marcelino Pan y Vino,Marcelino Pan y Vino,2010,2010-12-17,"Drama, Family",91,Mexico,Spanish,José Luis Gutiérrez Arias,"Mikel Garcia Bilbao, José María Sánchez Silva",LOB Films,"Alejandro Tommasi, Jorge Lavat, Teresa Ruiz, Mark Hernández Mosqueda, Gaston Peterson, Guillermo Larrea, Gerardo Moscoso, Waldo Facco, Sergio Argueta, Angelica Ballesteros, Ángeles Cruz, Arturo Díaz de Sandy, Marcos Duarte, Benny Emmanuel, Jose Camilo Garduno",The friars of a poor war-ravaged monastery find an infant abandoned on their doorstep.,$ 3000000,$ 18193,$ 512315
tt1758575,Blue Like Jazz,Blue Like Jazz,2012,2012-03-13,"Comedy, Drama",108,USA,English,Steve Taylor,"Donald Miller, Donald Miller",Ruckus Films,"Marshall Allman, Claire Holt, Tania Raymonde, Justin Welborn, Eric Lange, Jason Marsden, William McKinney, Jenny Littleton, David Alford, Jeff Obafemi Carr, Matt Godfrey, Jeffrey Buckner Ford, Traber Burns, Barak Hardley, Jenson Goins","Don, a nineteen-year-old sophomore at a Texas junior college, tries to escape his Bible Belt upbringing for life in the Pacific Northwest at the most godless campus in America.",$ 1200000,$ 595018,$ 595018
tt1758595,Diana - La storia segreta di Lady D,Diana,2013,2013-10-03,"Biography, Drama, Romance",113,"UK, France, Sweden, Belgium",English,Oliver Hirschbiegel,"Stephen Jeffreys, Kate Snell",Ecosse Films,"Naomi Watts, Cas Anvar, Charles Edwards, James Puddephatt, Douglas Hodge, Ilan Goodman, Geraldine James, Prasanna Puwanarajah, Rose O'Loughlin, Michael Hadley, Naveen Andrews, Juliet Stevenson, Max Wrottesley, Christopher Birch, Nathaniel Facey","During the last two years of her life, Princess Diana embarks on a final rite of passage: a secret love affair with Pakistani heart surgeon Hasnat Khan.",$ 15000000,$ 335359,$ 21766271
tt1758610,Unconditional,Unconditional,2012,2012-09-21,"Biography, Crime, Drama",92,USA,English,Brent McCorkle,Brent McCorkle,Harbinger Media Partners,"Lynn Collins, Michael Ealy, Bruce McGill, Kwesi Boakye, Diego Klattenhoff, Cedric Pendleton, Emily Rollins, Danielle Lewis, Amanda Bailey, Michael Beasley, Lynn Becker, Jacinte Blankenship, Steven Brown, Claudia Church, Rodger D. Eldridge","A woman's idyllic life is shattered when her husband is killed in a senseless act of violence. As she prepares to take matters into her own hands, two unexpected encounters begin to change everything.",$ 2000000,$ 1005800,$ 1034448
tt1758692,Like Crazy,Like Crazy,2011,2012-01-27,"Drama, Romance",86,USA,English,Drake Doremus,"Drake Doremus, Ben York Jones",Paramount Vantage,"Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston, Oliver Muirhead, Finola Hughes, Chris Messina, Ben York Jones, Jamie Thomas King, Amanda Carlin, Barry Sabath, Keeley Hazell, Kayla Barr Hengami, Jimmy Messer","A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.",$ 250000,$ 3395391,$ 3852409
tt1758795,The Do List - L'estate prima del college,The To Do List,2013,2013-07-26,"Comedy, Romance",104,USA,"English, Spanish, Sanskrit",Maggie Carey,Maggie Carey,3 Arts Entertainment,"Aubrey Plaza, Johnny Simmons, Bill Hader, Alia Shawkat, Sarah Steele, Scott Porter, Rachel Bilson, Christopher Mintz-Plasse, Andy Samberg, Donald Glover, Adam Pally, D.C. Pierson, Dominic Dierkes, Connie Britton, Clark Gregg","Feeling pressured to become more sexually experienced before she goes to college, Brandy Klark makes a list of things to accomplish before hitting campus in the fall.",$ 1500000,$ 3491669,$ 3909596
tt1758810,L'uomo di neve,The Snowman,2017,2017-10-12,"Crime, Drama, Mystery",119,"UK, USA, China, Sweden, Japan","English, Russian",Tomas Alfredson,"Peter Straughan, Hossein Amini",Universal Pictures,"Michael Fassbender, Rebecca Ferguson, Charlotte Gainsbourg, Jonas Karlsson, Michael Yates, Ronan Vibert, J.K. Simmons, Val Kilmer, David Dencik, Toby Jones, Genevieve O'Reilly, James D'Arcy, Jeté Laurence, Adrian Dunbar, Chloë Sevigny",Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.,$ 35000000,$ 6700035,$ 43155261
tt1758830,Questi sono i 40,This Is 40,2012,2013-07-04,"Comedy, Romance",134,USA,English,Judd Apatow,"Judd Apatow, Judd Apatow",Apatow Productions,"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow, Jason Segel, Annie Mumolo, Robert Smigel, Megan Fox, Charlyne Yi, Hugh Fink, Graham Parker, Tom Freund, D.A. Sandoval, Megan Grano, Mackenzie Aladjem","Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",$ 35000000,$ 67544505,$ 88215156
